Player,Year,Salary
Kevin Garnett,2000,19610000
Shaquille O'Neal,2000,19285715
Alonzo Mourning,2000,16880000
Juwan Howard,2000,16875000
Hakeem Olajuwon,2000,16700000
Karl Malone,2000,15750000
David Robinson,2000,14700000
Dikembe Mutombo,2000,14400000
Patrick Ewing,2000,14000000
Jayson Williams,2000,13800000
Scottie Pippen,2000,13750000
Rasheed Wallace,2000,12600000
Gary Payton,2000,12200000
Tim Hardaway,2000,12000000
Chris Webber,2000,12000000
Shawn Kemp,2000,11720000
Damon Stoudamire,2000,11250000
Arvydas Sabonis,2000,11250000
Larry Johnson,2000,11000000
John Stockton,2000,11000000
Antonio McDyess,2000,10800000
Reggie Miller,2000,10670000
Antoine Walker,2000,10130000
Stephon Marbury,2000,10130000
Zydrunas Ilgauskas,2000,10130000
Kobe Bryant,2000,10130000
Shareef Abdur-Rahim,2000,10130000
Ray Allen,2000,10130000
Vin Baker,2000,10130000
Allen Iverson,2000,10130000
Anfernee Hardaway,2000,10130000
Latrell Sprewell,2000,10125000
Bryant Reeves,2000,10110000
Mitch Richmond,2000,10000000
Rod Strickland,2000,10000000
Jalen Rose,2000,9660000
Grant Hill,2000,9660000
Tracy McGrady,2000,9660000
Tim Duncan,2000,9660000
Vlade Divac,2000,9640000
Tom Gugliotta,2000,9360000
Nick Van Exel,2000,9200000
Keith Van Horn,2000,9000000
Allan Houston,2000,9000000
Eddie Jones,2000,8960000
Brian Grant,2000,8900000
Tim Thomas,2000,8510000
Michael Finley,2000,8400000
Shawn Bradley,2000,8370000
Terrell Brandon,2000,8330000
Glenn Robinson,2000,8120000
Steve Smith,2000,8100000
Elden Campbell,2000,8050000
Danny Manning,2000,8030000
Derrick Coleman,2000,8000000
Avery Johnson,2000,8000000
Theo Ratliff,2000,7800000
Kerry Kittles,2000,7770000
Jason Kidd,2000,7680000
Glen Rice,2000,7578900
Kenny Anderson,2000,7520000
Matt Geiger,2000,7515840
Tyrone Hill,2000,7300000
Kendall Gill,2000,7000000
Clifford Robinson,2000,6890000
Christian Laettner,2000,6625000
Horace Grant,2000,6500000
Jamal Mashburn,2000,6200000
Chris Dudley,2000,6200000
Toni Kukoc,2000,6000000
Dale Davis,2000,6000000
Bryant Stith,2000,5920000
Alan Henderson,2000,5910000
Charles Oakley,2000,5760000
Marcus Camby,2000,5750000
Luc Longley,2000,5750000
PJ Brown,2000,5740000
Jermaine O'Neal,2000,5710000
Donyell Marshall,2000,5630000
Erick Dampier,2000,5610000
Wesley Person,2000,5600000
Chris Gatling,2000,5550000
Anthony Mason,2000,5550000
Ron Mercer,2000,5520000
Steve Nash,2000,5500000
Isaac Austin,2000,5500000
Antonio Davis,2000,5500000
Jim McIlvaine,2000,5400000
Derrick McKey,2000,5400000
Kelvin Cato,2000,5330000
Jerry Stackhouse,2000,5310000
Austin Croshere,2000,5300000
Sean Elliott,2000,5300000
Greg Ostertag,2000,5200000
Charlie Ward,2000,5040000
Lorenzen Wright,2000,4950000
Loy Vaught,2000,4812025
Chris Mills,2000,4800000
Mookie Blaylock,2000,4800000
Robert Horry,2000,4800000
Hersey Hawkins,2000,4760000
Chris Childs,2000,4680000
Chris Mullin,2000,4650000
Bobby Phills,2000,4640000
Bryon Russell,2000,4570000
Tariq Abdul-Wahad,2000,4500000
Bo Outlaw,2000,4500000
Bob Sura,2000,4390000
Jason Caffey,2000,4380000
Robert Pack,2000,4320000
Brent Barry,2000,4320000
Vitaly Potapenko,2000,4290000
Brevin Knight,2000,4250000
Howard Eisley,2000,4250000
Walt Williams,2000,4250000
Scott Williams,2000,4200000
Dan Majerle,2000,4050000
Brad Miller,2000,4000000
Ben Wallace,2000,4000000
Duane Causwell,2000,4000000
Sam Cassell,2000,4000000
Danny Fortson,2000,3950000
Corliss Williamson,2000,3940000
Cedric Ceballos,2000,3937500
Jahidi White,2000,3922000
Cuttino Mobley,2000,3920000
Rashard Lewis,2000,3920000
Scot Pollard,2000,3920000
Eric Williams,2000,3890000
Voshon Lenard,2000,3780000
Nick Anderson,2000,3750000
Dana Barros,2000,3700000
Michael Olowokandi,2000,3697440
Doug West,2000,3680000
Kurt Thomas,2000,3680000
Elton Brand,2000,3629160
Adonal Foyle,2000,3580000
Mark Jackson,2000,3570000
Kenyon Martin,2000,3536640
Michael Stewart,2000,3520000
Derek Strong,2000,3510000
Travis Best,2000,3500000
Rex Chapman,2000,3500000
Greg Anthony,2000,3500000
Rick Fox,2000,3400000
Adam Keefe,2000,3390000
Lamond Murray,2000,3380000
Derek Fisher,2000,3380000
Eric Snow,2000,3380000
Mike Bibby,2000,3308160
Jud Buechler,2000,3260000
Steve Francis,2000,3246960
Greg Minor,2000,3240000
Tony Battie,2000,3200000
Travis Knight,2000,3200000
Don MacLean,2000,3178500
Stromile Swift,2000,3164280
Doug Christie,2000,3140000
Darrell Armstrong,2000,3100000
Tracy Murray,2000,3060000
Mark Bryant,2000,3029268
Chucky Atkins,2000,3000000
Tyrone Nesby,2000,2990000
Raef LaFrentz,2000,2970840
Samaki Walker,2000,2960000
Baron Davis,2000,2916000
David Wesley,2000,2880000
Brent Price,2000,2880000
Dean Garrett,2000,2880000
Jerome Williams,2000,2870000
Kevin Willis,2000,2870000
Mikki Moore,2000,2850000
Darius Miles,2000,2841720
Antonio Daniels,2000,2820000
Popeye Jones,2000,2812500
Anthony Peeler,2000,2740000
Jon Barry,2000,2730000
Cedric Henderson,2000,2700000
Ervin Johnson,2000,2700000
Lawrence Funderburke,2000,2700000
Antawn Jamison,2000,2678400
Walter McCarty,2000,2670000
Lindsey Hunter,2000,2650000
Lamar Odom,2000,2628960
Vernon Maxwell,2000,2570000
Malik Rose,2000,2570000
Marcus Fizer,2000,2562000
Erick Strickland,2000,2560000
Dragan Tarlac,2000,2500000
Vince Carter,2000,2425440
Matt Maloney,2000,2401000
Gary Trent,2000,2400000
Terry Mills,2000,2400000
Mark Strickland,2000,2400000
Jonathan Bender,2000,2380680
Sam Mitchell,2000,2370000
Chris Whitney,2000,2370000
Jim Jackson,2000,2330000
Mike Miller,2000,2320080
Dale Ellis,2000,2290000
Randy Brown,2000,2250000
Aaron Williams,2000,2250000
Bimbo Coles,2000,2250000
Joe Smith,2000,2250000
Maurice Taylor,2000,2250000
Sam Perkins,2000,2250000
Brian Shaw,2000,2250000
Othella Harrington,2000,2250000
A.C. Green,2000,2250000
Chauncey Billups,2000,2250000
Tony Delk,2000,2250000
Will Perdue,2000,2250000
Bobby Jackson,2000,2250000
Derek Anderson,2000,2250000
John Starks,2000,2250000
Eric Montross,2000,2240000
